method,spearman,kendall,ndcg,top_hit
degree,0.7529±0.1758,0.5817±0.1864,0.8296±0.1480,66.5±16.8
k-core,0.7510±0.2125,0.5767±0.2313,0.8708±0.1012,69.8±11.9
PageRank,0.5431±0.2719,0.4038±0.2563,0.6012±0.3676,42.2±35.4
betweenness,0.5963±0.2000,0.4316±0.1815,0.5548±0.3275,34.2±29.1
CI,0.8432±0.1011,0.6759±0.1169,0.7737±0.3104,57.2±36.0
DomiRank,0.4671±0.2057,0.3327±0.1639,0.6859±0.2407,45.5±21.9
XGBoost,0.8319±0.1038,0.6553±0.1254,0.7314±0.3208,55.0±38.2
TopL-200,0.8302±0.1417,0.6657±0.1586,0.9104±0.0687,74.5±12.1
